transcript_id,call_type,topic,secondary_topic,topic_confidence,topic_margin,review_reason,evidence_terms,transcript_excerpt
01KQ5A966832A146DA4B7D41,external,Identity / Access Management,Renewal / Commercial Risk,0.15,4,Low topic confidence,identity; sso; mfa; access management,"Maria Santos: Alicia, hey, thanks for making time today — I know you mentioned earlier this week that things have been pretty hectic over there. Alicia Monroe: Yeah, hectic is honestly an understatement, Maria. March has"
01KQ5F364545B542671FF9CE,support,Identity / Access Management,Product Roadmap / Feature Gaps,0.26,17,Low topic confidence,identity; scim; provisioning; okta,"Sarah Chen: Good morning, you've reached Aegis Cloud Security support, this is Sarah Chen, I have Marcus Williams joining me as well on this call — we're both pulling up support case number 3546. Jason Hoffman: Morning S"
01KQ764171AC27A3A94DC695,internal,Detect Reliability / Incident Response,Comply / Audit Readiness,0.34,14,Low topic confidence,outage; detect; threat monitoring; event ingestion; incident,"Tyler Washington: Alright, I think we've got everyone. Diana, Chris, can you both hear me okay? Diana Reeves: Yeah, I'm good. Just pulled up the incident doc so I can follow along. Chris Lee: Same here. Let me get my scr"
01KQ773D68723289E4A98889,support,Renewal / Commercial Risk,Protect / Backup Recovery,0.22,7,Low topic confidence,billing; invoice; overage,"Sarah Chen: Hi, thanks for joining, this is Sarah Chen from Aegis Cloud Security support, I have Marcus Williams here with me as well — he handles a lot of our billing-side cases. Marcus Williams: Hey there, Marcus Willi"
01KQ77F2867FC54E13A8C495,external,Customer Onboarding / Expansion,Detect Reliability / Incident Response,0.13,3,Low topic confidence,onboarding; deployment,"James Mitchell: Hey Kendra, thanks for making time today — I know your schedule's been packed. Kendra Wallace: Yeah, it has been, but this is an important one so I made sure to block it off. Good to connect, James. James"
01KQ7B802912366FC0A24D4F,internal,Detect Reliability / Incident Response,Comply / Audit Readiness,0.13,4,Low topic confidence,outage; detect; post-mortem; root cause,"Ravi Gupta: Alright, I think we've got most people on now — Hannah, you there? Hannah Liu: Yeah, I'm here, sorry — just had another call run long. Ravi Gupta: No worries, Ananya and Alex are on, Nina just joined — okay g"
01KQ7F58A2E07B857C24624D,internal,Renewal / Commercial Risk,Product Roadmap / Feature Gaps,0.08,0,Low margin between primary and secondary topic,competitive; pricing,"Jordan Whitfield: Hey Tom, you there? I think you might be on mute. Tom Bradley: Oh, yeah sorry, I was — yeah, I had myself muted. Can you hear me now? Jordan Whitfield: Yeah, loud and clear. Okay cool, so I figured we s"
01KQ7FA71CF70FAFEE4B6251,external,Comply / Audit Readiness,Renewal / Commercial Risk,0.17,8,Low topic confidence,comply; compliance; compliance reporting; soc 2; iso 27001,"Aisha Johnson: Hi Stephanie, thanks for making time today — I know you've got a lot going on. Stephanie Blair: Yeah, it's been a week, honestly. But yeah, I wanted to have this conversation so, here we are. Aisha Johnson"
01KQ88B8EAEAA819C26CCBE7,support,Comply / Audit Readiness,Detect Reliability / Incident Response,0.11,5,Low topic confidence,compliance; soc 2; hipaa; audit,"Elena Vasquez: Thank you for holding, this is Elena Vasquez from Aegis Cloud Security senior support, I have your case pulled up here — am I speaking with Grace? Grace Yoon: Yes, Grace Yoon, and I also have Frank Delaney"
01KQ92EA85FE4C537400227D,support,Comply / Audit Readiness,Product Roadmap / Feature Gaps,0.22,11,Low topic confidence,comply; compliance; soc 2; pci dss; audit,"Priya Patel: Hi Warren, thanks for holding — this is Priya Patel from the Aegis support team, I'm the team lead on the compliance side of things. How are you doing today? Warren Beck: Priya! Yeah, doing well, doing well."
01KQ9A6BE09D73A9BB5798C7,support,Product Roadmap / Feature Gaps,Comply / Audit Readiness,0.07,1,Low margin between primary and secondary topic,feature request; feature gap; roadmap; product roadmap; custom report,"David Kim: Hi, this is David Kim calling from Aegis Cloud Security support. Am I speaking with Keith Donovan? Keith Donovan: Yeah, that's me. Hi David, thanks for calling back. David Kim: Of course, absolutely. So I'm ca"
01KQ9BCA1794C9472726FFAD,internal,Comply / Audit Readiness,Customer Onboarding / Expansion,0.23,9,Low topic confidence,comply; compliance; compliance reporting; soc 2; iso 27001,"Tom Bradley: Alright, I think we've got everyone — Megan, you're on, right? Megan Lawson: Yeah, yeah I'm here, sorry — just had to drop off another call a little early, but I'm good, I'm ready. Tom Bradley: Okay great, a"
01KQA502E222E2A60330237B,external,Renewal / Commercial Risk,Comply / Audit Readiness,0.33,11,Low topic confidence,renewal; pricing; budget,"Daniel Okafor: Alright, I think we've got everyone on — Yuki, can you hear us okay? Yuki Tanaka: Yeah, loud and clear! Hey Daniel, hey everyone. Daniel Okafor: Hey Yuki! Good to have you on. I've got Kevin and Ananya her"
01KQADF3D76E82BF8BA19AF2,internal,Comply / Audit Readiness,Internal Execution / Planning,0.18,2,Low margin between primary and secondary topic,comply; compliance; multi-framework,"Raj Kapoor: Alright, I think we've got everyone, let me just — yeah, okay, Diana's here, Megan's here, Nina just joined. Good. Let's get started. Diana Reeves: Sorry I'm a minute late, I was wrapping up something with th"
01KQB632F1ADC378C42F2C03,support,Comply / Audit Readiness,Renewal / Commercial Risk,0.29,9,Low topic confidence,comply; compliance; compliance reporting; soc 2,"David Kim: Hi, thanks for calling Aegis Cloud Security support, this is David Kim. Can I get the name of the account holder I'm speaking with today? Michelle Tan: Hi David, yeah, this is Michelle Tan, I'm the Security Ma"
01KQD199788883B6F18C81E8,external,Renewal / Commercial Risk,Detect Reliability / Incident Response,0.22,5,Low topic confidence,renewal; pricing,"Daniel Okafor: Wayne! Good to have you on, man. How are things going out there in — is it still cold in Cleveland or have you guys finally gotten some spring weather? Wayne Keller: Ha, we actually had a really nice weeke"
01KQDD5172176D02DB51360A,support,Protect / Backup Recovery,Detect Reliability / Incident Response,0.33,12,Low topic confidence,protect; backup,"Priya Patel: Hi, this is Priya Patel from Aegis Cloud Security support, am I speaking with Dr. Cheng? Dr. Linda Cheng: Yes, this is Linda Cheng, and I have to say I'm — I'm really frustrated right now, we've been dealing"
01KQF9600A904ADE8605B3F0,internal,Detect Reliability / Incident Response,Internal Execution / Planning,0.09,0,Low margin between primary and secondary topic,outage; detect; event ingestion; incident,"Chris Lee: Alright, I think we've got everyone — Tyler, Ravi, you both here? Tyler Washington: Yeah I'm here, just grabbing my coffee real quick. Ravi Gupta: Present, yeah, I've got the sprint board pulled up too so we c"
01KQFFC0F889AE8CFEE7A00D,external,Detect Reliability / Incident Response,Comply / Audit Readiness,0.19,5,Low topic confidence,detect; pipeline failure; incident; post-mortem; root cause,"Aisha Johnson: Hey Julia! So great to finally have this call — I feel like we've been trying to get this on the calendar for, like, two weeks now. Julia Tran: I know, I know, it's been a crazy January honestly. Like ever"
